"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Amenities/0/Free Wi-Fi","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Parking/0/Free parking lot","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","facebooks/0","facebooks/1","facebooks/2","facebooks/3","facebooks/4","facebooks/5","facebooks/6","facebooks/7","fid","floor","googleFoodUrl","hotelAds/0/googleUrl","hotelAds/0/isOfficialSite","hotelAds/0/price","hotelAds/0/title","hotelAds/0/url","hotelAds/1/googleUrl","hotelAds/1/isOfficialSite","hotelAds/1/price","hotelAds/1/title","hotelAds/1/url","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","phonesUncertain/13","phonesUncertain/14","phonesUncertain/15","phonesUncertain/16","phonesUncertain/17","phonesUncertain/18","phonesUncertain/19","phonesUncertain/20","phonesUncertain/21","phonesUncertain/22","phonesUncertain/23","phonesUncertain/24","phonesUncertain/25","phonesUncertain/26","phonesUncertain/27","phonesUncertain/28","phonesUncertain/29","phonesUncertain/30","phonesUncertain/31","phonesUncertain/32","phonesUncertain/33","phonesUncertain/34","phonesUncertain/35","phonesUncertain/36","phonesUncertain/37","phonesUncertain/38","phonesUncertain/39","phonesUncertain/40","phonesUncertain/41","phonesUncertain/42","phonesUncertain/43","phonesUncertain/44","phonesUncertain/45","phonesUncertain/46","phonesUncertain/47","phonesUncertain/48","phonesUncertain/49","pinterests/0","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4"
"true",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9765 54th St SE, Calgary, AB T2C 5J6, Canada","Heating equipment supplier","Manufacturer",,,,,,,,,"Heating equipment supplier",,,"4577581916529649869","Calgary","false","CA","0",,"icewestern.com","jim.c@icewestern.com","accounting@icewestern.com","humanresources@icewestern.com","partsdepartment@icewestern.com","service@icewestern.com",,,,,,,,,,,,,,,,,,,"0x537179f1feb537b1:0x3f86d680010068cd",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFX23BYAuzXGc-ViAVEV3HUvKr5helgpdHY0VKGGR-1Bv2TY3wd3YZgWxGINI_QPBgQ0lNt4QwpOsEDjKS1RG_UnyGsPDbPi7MFJR78O6tCwO0IlRtW-3GnldB1xkLYPui5Wh1=w408-h306-k-no","18",,,"false","/g/1thq4zft","en","https://www.linkedin.com/company/ice-western-sales",,"50.9663988","-113.9575679",,"Section 23",,,,,,,,,,,,,,,"false","+1 403-252-5577","+14032525577",,,,,,,,,,,,"403.252.5577","403-252-5577","403-252-5556","844-423-9378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJsTe1_vF5cVMRzWgAAYDWhj8",,"T2C 5J6",,"19",,,"34",,,,,,"2026-04-18T17:29:24.867Z","https://icewestern.com/","https://icewestern.com/contact","https://icewestern.com/","https://icewestern.com/careers","https://icewestern.com/corporate-profile","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","9765 54th St SE",,"false","ICE Western Sales Ltd","3.2",,"https://www.google.com/maps/search/?api=1&query=ICE%20Western%20Sales%20Ltd&query_place_id=ChIJsTe1_vF5cVMRzWgAAYDWhj8","http://www.icewestern.com/",,,,,,
,,,,,,,,,,"true",,,"true",,"true",,,"true",,,,,,,,,,"true",,,,"true",,,,"5100 64 Ave SE #20, Calgary, AB T2C 4V3, Canada","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Furnace parts supplier","Furnace repair service","Heating contractor",,,,,"HVAC contractor",,,"2104801512977390043","Calgary","false","CA","0",,"shiftheatcool.ca","info@shiftservices.ca",,,,,,,,,,,,,,,"https://www.facebook.com/ShiftHeatingCoolingAB","https://www.facebook.com/profile.php?id=61567110655010",,,,,,,"0x537177fa355d452d:0x1d35c1d307b8d9db",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYsTEI2iT17rfu2ctNwcFV579QZumuzlRMBuc8A4D3OmW3q9S2bLu7SkToclP9YfsfWn5r5DM4DKu2zUJznzsSKgQCmCfuLW9Fv0UBU5MxJQPoVr3D7MWG3ecjUsYBe37E8JgU0g=w426-h240-k-no","53","https://www.instagram.com/shift.services","https://www.instagram.com/shiftairmech","false","/g/1tj9s_zf","en",,,"50.9973501","-113.9606651",,"Southeast Calgary","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 587-741-7286","+15877417286","+587-742-7678",,,,,,,,,,,"587-742-7678","(403) 452–7076","(888) 852–6001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJLUVdNfp3cVMR29m4B9PBNR0",,"T2C 4V3",,"20",,,"210",,,,,,"2026-04-18T17:29:24.867Z","https://shiftheatcool.ca/","https://shiftheatcool.ca/about-us/","https://shiftheatcool.ca/contact-us/","https://shiftheatcool.ca/about-us/","https://shiftheatcool.ca/careers/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","5100 64 Ave SE #20",,"false","Shift Heating & Cooling Services Ltd","4.6",,"https://www.google.com/maps/search/?api=1&query=Shift%20Heating%20%26%20Cooling%20Services%20Ltd&query_place_id=ChIJLUVdNfp3cVMR29m4B9PBNR0","http://shiftheatcool.ca/",,,,,,
,,,,,,,,,,"true",,,,,,"true",,,,,,,,,,,,"false",,,,,,,,,"HVAC contractor","Air conditioning contractor","Air conditioning repair service","Air duct cleaning service","Drainage service","Service establishment","Furnace repair service","Heating contractor","Plumber",,"HVAC contractor",,,"13449902555118240249",,"false",,"0",,"plumbingparamedics.ca","help@plumbingparamedics.ca",,,,,,,,,,,,,,,"https://www.facebook.com/plumbingparamedics",,,,,,,,"0x537170a38947bf63:0xbaa7a71cfd7101f9",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeSvRyPTo3QhKicxQs2X5-r27clZLEBk4ZKcJmO4Cd2FPA8iAHYTA9sQ4sCsPBWGPDx804EksRFLJ1XhwJBulzrikDropcskl0oaUGFx-VdPSiULwQgUmmsxBEq8OYeZhERoxTIKZh9arV=w408-h544-k-no","333","https://www.instagram.com/plumbingheatingparamedicsyyc",,"false","/g/1hc7p7p2z","en","https://www.linkedin.com/company/plumbing-paramedics",,"50.9433782","-114.090531",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 587-205-4554","+15872054554","587-316-2946","(587)206-6881","587-327-6643","587-206-6881",,,,,,,,"587-792-2370","50.955093","113.965028","(587) 206-6881","587-327-6643","(587) 206-68814","(587) 747-6979","587-327-664324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJY79HiaNwcVMR-QFx_Rynp7o",,,,"15",,,"1288",,,,,,"2026-04-18T17:29:24.867Z","https://www.plumbingparamedics.ca/?utm_source=google&utm_medium=organic&utm_campaign=local+listings","https://www.plumbingparamedics.ca/about-us","https://www.plumbingparamedics.ca/contact-us","https://www.plumbingparamedics.ca/blog/breakdowns-and-keep-your-home-comfortable-in-every-season-hvac-maintenance-in-calgary-how-regular-tune-ups-save-you-money-all-year","https://www.plumbingparamedics.ca/careers","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ",,,,"false","Plumbing & Heating Paramedics","4.8",,"https://www.google.com/maps/search/?api=1&query=Plumbing%20%26%20Heating%20Paramedics&query_place_id=ChIJY79HiaNwcVMR-QFx_Rynp7o","https://www.plumbingparamedics.ca/?utm_source=google&utm_medium=organic&utm_campaign=local+listings",,"https://www.youtube.com/channel/UC3k_OuMVt8cl09ommvHri8g",,,,
,,,,,,,,,,,,,,,,"true",,,,"true",,"true",,,,,,"false",,,,,,,,,"Plumber","Service establishment","Gasfitter",,,,,,,,"Plumber",,,"14579761583087548704",,"false",,"0",,"hvacservicescalgary.ca","milanvicplumbing@gmail.com",,,,,,,,,,,,,,,,,,,,,,,"0x53719d3f9dfc141d:0xca55b7e9b5d1f920",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrmIodwhybibr7W9w-LblU0kOdwUHMHZqoRmtc_fyeWWImY7Oz73-TFyqtX3SuphuqvF-x9_nuByoSyg4VlvvyzF_yTemVrEJVoJGGjOccCHFWfuBZ5PIMDe1Choxvpi8R7st_=w408-h306-k-no","40",,,"false","/g/11qptbsc9m","en",,,"51.0276233","-114.087835",,,"Monday","7 AM to 9 PM","Tuesday","7 AM to 9 PM","Wednesday","7 AM to 9 PM","Thursday","7 AM to 9 PM","Friday","7 AM to 9 PM","Saturday","9 AM to 5 PM","Sunday","Closed","false","+1 403-890-8685","+14038908685","+14038908685",,,,,,,,,,,"+14038908685","114.0719","403-890-8685","20131998","1978-1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJHRT8nT-dcVMRIPnRtem3Vco",,,,"38",,,"21","21","0","0","0","0","2026-04-18T17:29:25.698Z","https://hvacservicescalgary.ca/","https://hvacservicescalgary.ca/contact/","https://hvacservicescalgary.ca/faq/","https://hvacservicescalgary.ca/blog/","https://hvacservicescalgary.ca/about/","https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ",,,,"false","MV Pro Mechanical Inc. (previously known as MilanVic Plumbing & Heating Ltd.)","5",,"https://www.google.com/maps/search/?api=1&query=MV%20Pro%20Mechanical%20Inc.%20(previously%20known%20as%20MilanVic%20Plumbing%20%26%20Heating%20Ltd.)&query_place_id=ChIJHRT8nT-dcVMRIPnRtem3Vco","https://hvacservicescalgary.ca/","https://wa.me/14038908685",,,,,
,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,,,,,,,,,,"180 Copperstone Gardens SE, Calgary, AB T2Z 0R8, Canada","HVAC contractor","Furnace repair service","Gasfitter","Heating contractor","Plumber",,,,,,"HVAC contractor",,,"17190292920924658754","Calgary","false","CA","0",,"shawmannplumbing.com","info@shawmannplumbing.ca","info@shawmannplumbing.com",,,,,,,,,,,,,,,,,,,,,,"0xaf3a1b1b24afa10b:0xee90305560a05c42",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQf-O615bX7Ppgg2CRa_21x_b5tARvPBLrjTygS-1HAo-dDFclAuamdG6dT46gMBScpJbIv5JTwb4M_-mw3P69dG9RCNSB7kuROJs2TjVVOO7idD0a3MNcvSAWNRhR1jmZNmDXj_2_2IhI=w408-h544-k-no","25",,,"false","/g/11yl6jh070","en",,,"50.918431","-113.921669",,"Copperfield","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 587-325-5646","+15873255646",,,,,,,,,,,,"325-5646","(587) 325-5646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJC6GvJBsbOq8RQlygYFUwkO4",,"T2Z 0R8",,"14",,,"67",,,,,,"2026-04-18T17:29:24.867Z","https://shawmannplumbing.com/","https://shawmannplumbing.com/","https://shawmannplumbing.com/faqs/","https://shawmannplumbing.com/about-us/","https://shawmannplumbing.com/contact-us/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","180 Copperstone Gardens SE",,"false","Shawmann Plumbing and Heating Ltd","5",,"https://www.google.com/maps/search/?api=1&query=Shawmann%20Plumbing%20and%20Heating%20Ltd&query_place_id=ChIJC6GvJBsbOq8RQlygYFUwkO4","http://www.shawmannplumbing.com/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,"true",,,,"true",,,,"4420 75 Ave SE #12, Calgary, AB T2C 2H8, Canada","HVAC contractor",,,,,,,,,,"HVAC contractor",,,"11493802897735618220","Calgary","false","CA","0",,"rbimpact.ca",,,,,,,,,,,,,,,,"https://facebook.com/rb.impact.2025",,,,,,,,"0x882b175517d3341f:0x9f8230d6b5e30eac",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3cJVA3Z_Zxl76yyinkReZ3GEElqY_3B1_5tbOEm5YyOayZlOQmp_Ir8roBfVWS8Z-A2meVNBXC_Ka2crd2Xd4_xcbk4ahsdjyWesQIa8gWh-aFboFCUyddlxAFginP89aT3WPKA=w408-h270-k-no","39","https://instagram.com/rbimpact_hvac","https://www.instagram.com/rbimpact_hvac","false","/g/11qnd67jv1","en","https://linkedin.com/company/rb-impact-hvac-services",,"50.9878029","-113.9718912",,"Southeast Calgary","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Closed","false","+1 403-620-7200","+14036207200","825 484 2500","403 620 7200",,,,,,,,,,"403-620-7200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJHzTTF1UXK4gRrA7jtdYwgp8",,"T2C 2H8",,"9",,,"88",,,,,,"2026-04-18T17:29:24.866Z","http://rbimpact.ca/","http://rbimpact.ca/faq","http://rbimpact.ca/aboutus","http://rbimpact.ca/blog","http://rbimpact.ca/services/furnaces","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","4420 75 Ave SE #12",,"false","RB Impact HVAC","4.9",,"https://www.google.com/maps/search/?api=1&query=RB%20Impact%20HVAC&query_place_id=ChIJHzTTF1UXK4gRrA7jtdYwgp8","https://rbimpact.ca/",,,,,,
"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,"7860 62 St SE, Calgary, AB T2C 5K2, Canada","HVAC contractor","Air conditioning system supplier","Heating equipment supplier","Refrigerated transport service",,,,,,,"HVAC contractor",,,"11037500557693884525","Calgary","false","CA","0",,"polarmobility.com","jesseh@polarmobility.com","mikew@polarmobility.com","sebastianc@polarmobility.com","lenora@polarmobility.com","jet@polarmobility.com",,,,,,,,,,,"https://www.facebook.com/profile.php?id=100064892717327",,,,,,,,"0x53717a102bf22adb:0x992d14472d85186d",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhnqWJgcHrQbPsmGadXihlhGVCTyxgZxmhR87ypLQZQNRtQKOQwC95qxC-L1TTNS5PU0vG_iBuCV_UfY6CylI8nhzmESwZ87i2JUsbQpXC7T2JgsAMMth7jtbBwTJN8xc4FXRePw=w408-h244-k-no","12","https://www.instagram.com/polarmobility",,"false","/g/1td6xt2l","en","https://ca.linkedin.com/company/polar-mobility-research-ltd",,"50.9831939","-113.9406052",,"Great Plains","Monday","8 AM to 4:30 PM","Tuesday","8 AM to 4:30 PM","Wednesday","8 AM to 4:30 PM","Thursday","8 AM to 4:30 PM","Friday","8 AM to 4:30 PM","Saturday","8 AM to 4:30 PM","Sunday","Closed","false","+1 403-279-3633","+14032793633","18003098155","4032793633","18889490999","7804655068","4033403166","14032793633","14033403166","17804655068",,,,"800-309-8155","403-279-3633","888-949-0999","465-5068","403-340-3166","780-465-5068","403-236-2759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ2yryKxB6cVMRbRiFLUcULZk",,"T2C 5K2",,"10",,,"66",,,,,,"2026-04-18T17:29:24.866Z","https://polarmobility.com/?utm_source=organic&utm_medium=gbp&utm_campaign=gbp-link","https://polarmobility.com/air-filtration/air-filtration-units-systems/cabin-enclosures/filter-pressurizers/","https://polarmobility.com/about/","https://polarmobility.com/contact/","https://polarmobility.com/contact/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","7860 62 St SE",,"false","POLAR MOBILITY RESEARCH LTD","4.7","https://twitter.com/MobilityPolar","https://www.google.com/maps/search/?api=1&query=POLAR%20MOBILITY%20RESEARCH%20LTD&query_place_id=ChIJ2yryKxB6cVMRbRiFLUcULZk","https://polarmobility.com/?utm_source=organic&utm_medium=gbp&utm_campaign=gbp-link",,"https://www.youtube.com/channel/UCfyd_4GIpRgjh9xPr4Q_GSA",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8800 Venture Ave SE #2128, Calgary, AB T3S 0B8, Canada","Heating contractor",,,,,,,,,,"Heating contractor",,,"13287337196719081606","Calgary","false","CA","0",,"hvacproalberta.ca","info@hvacproalberta.ca","info@waterheaterpro.ca",,,,,,,,,,,,,,"https://www.facebook.com/waterheatercalgary",,,,,,,,"0x5371790c28dd3a09:0xb8661ac7f5468886",,,,,,,,,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pJPwtvwfp_WEGHIb3c7-zA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=7.577302&pitch=0&thumbfov=100","1","https://www.instagram.com/waterheatercalgary",,"false","/g/11vq54xyxh","en",,,"50.9712214","-113.9057925",,,"Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-333-0630","+14033330630","+14033330630",,,,,,,,,,,"403 333 0630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJCTrdKAx5cVMRhohG9ccaZrg",,"T3S 0B8",,"6",,,"8",,,,,,"2026-04-18T17:29:24.866Z","http://www.hvacproalberta.ca/","http://www.hvacproalberta.ca/contact-hvacpro/","http://www.hvacproalberta.ca/#","http://www.hvacproalberta.ca/ductwork-calgary/","http://www.hvacproalberta.ca/about-hvacpro/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","8800 Venture Ave SE #2128",,"false","HVAC Pro - Heating and Cooling","3.5",,"https://www.google.com/maps/search/?api=1&query=HVAC%20Pro%20-%20Heating%20and%20Cooling&query_place_id=ChIJCTrdKAx5cVMRhohG9ccaZrg","https://www.hvacproalberta.ca/",,,,,,
"true",,,,,"true",,,,,,,,,,,"true",,,,,,,,,,"true",,,"true",,,,,,,"3953 112 Ave SE, Calgary, AB T2C 0J4, Canada","HVAC contractor","Air conditioning contractor","Air conditioning store","Air conditioning system supplier","Electrician","Furnace repair service","Furnace store","Heating contractor","Air conditioning repair service","Plumber","HVAC contractor",,,"4357690141920489460","Calgary","false","CA","0",,"reliancehomecomfort.com",,,,,,,,,,,,,,,,"https://www.facebook.com/reliancehomecomfort",,,,,,,,"0x5371775d9b40aa51:0x3c79a01896646ff4",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFzAJVy8dXtOlmzSQeYQPzajRXEtJ5c7gBulbWV-nvfalBW4AMNuzw4YpmCLHSnSoYMW_a4MDAAP6aYzqlfabuU2FDuIGH6mMyE7NQ2hnZcG3Y0-G831chlVNL9u3b52s2tF976WQ=w457-h240-k-no","205","https://www.instagram.com/reliance_comfort",,"false","/g/1ptyt7z3x","en","https://ca.linkedin.com/company/reliance-home-comfort",,"50.952014","-113.9805607",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","(844) 426-7661","+18444267661","18888371451","18667354262",,,,,,,,,,"3953 112","888-837-1451","866-735-4262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJUapAm113cVMR9G9klhigeTw",,"T2C 0J4",,"13",,,"5374",,,,,,"2026-04-18T17:29:24.867Z","http://reliancehomecomfort.com/calgary/furnace/furnace-repair/?utm_source=google&utm_medium=organic&utm_campaign=gmb-calgary","https://reliancehomecomfort.com/calgary/contact-us/","http://reliancehomecomfort.com/calgary/contact-us/","https://reliancehomecomfort.com/contact-us/","https://reliancehomecomfort.com/calgary/about-us/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","3953 112 Ave SE",,"false","Reliance Calgary Heating, Air Conditioning & Plumbing","4.7","https://twitter.com/RelianceCares","https://www.google.com/maps/search/?api=1&query=Reliance%20Calgary%20Heating%2C%20Air%20Conditioning%20%26%20Plumbing&query_place_id=ChIJUapAm113cVMR9G9klhigeTw","https://reliancehomecomfort.com/calgary/furnace/furnace-repair/?utm_source=google&utm_medium=organic&utm_campaign=gmb-calgary",,"https://www.youtube.com/user/reliancehomecomfort",,,,
,,,,,,,,,,,,,,"true","true",,,"true",,,,,,,,,,"true",,,,"true",,,,"6815 40 St SE, Calgary, AB T2C 2W7, Canada","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Air conditioning system supplier","Air duct cleaning service","Furnace repair service","Heating contractor","Hot water system supplier","Plumber",,"HVAC contractor",,,"2938899832290910401","Calgary","false","CA","0",,"arpis.com","arpiscal@arpis.com",,,,,,,,,,,,,,,"https://www.facebook.com/arpisindustries",,,,,,,,"0x53717a140d9f5e55:0x28c911d39627a0c1",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdf5y1feBt9ev0p3F9YoCN1NyAGbE5G4EBfJ1cGMzBQO4Pe9EOocmCPEBc9pMv4sxn6DFNZMpMticXeBrqwo6jiM3eVQ7rfnYvgRlFJb5Umj2NmJSo8NDWgqy5bMZSzwNRqW8=w408-h368-k-no","88","https://www.instagram.com/arpisindustriesyyc",,"false","/g/1tcz_5rs","en","https://ca.linkedin.com/company/arpi%27s-industries-ltd",,"50.9941035","-113.9770916",,"Southeast Calgary","Monday","7:30 AM to 5 PM","Tuesday","7:30 AM to 5 PM","Wednesday","7:30 AM to 5 PM","Thursday","7:30 AM to 5 PM","Friday","7:30 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-236-2444","+14032362444","+1(403) 236-2444","+14032362444","+1403-236-2444",,,,,,,,,"(403) 236-2444","(403) 236-8345","403-236-2444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJVV6fDRR6cVMRwaAnltMRySg",,"T2C 2W7",,"18",,,"4228",,,,,,"2026-04-18T17:29:24.848Z","https://www.arpis.com/","https://www.arpis.com/contact/customer-survey/","https://www.arpis.com/about/","https://www.arpis.com/contact/","https://www.arpis.com/about/","https://www.google.com/maps/search/hvac%20/@50.855265977028644,-113.88334802444844,13z?hl=en","hvac ","Alberta","6815 40 St SE",,"false","Arpi's Industries Ltd.","4.8",,"https://www.google.com/maps/search/?api=1&query=Arpi's%20Industries%20Ltd.&query_place_id=ChIJVV6fDRR6cVMRwaAnltMRySg","https://www.arpis.com/",,"https://www.youtube.com/channel/UCb6gbWJt3U0C1Fg33GpzVaA","https://www.youtube.com/embed/89UtW1vaMZ4","https://www.youtube.com/embed/Ec4vrCkiFBQ",,
